SK_ID_CURR,TARGET
100001,0.07
100005,0.11
100013,0.02
100028,0.06
100038,0.06
100042,0.06
100057,0.02
100065,0.03
100066,0.04
100067,0.08
100074,0.06
100090,0.07
100091,0.14
100092,0.13
100106,0.08
100107,0.21
100109,0.04
100117,0.09
100128,0.1
100141,0.14
100150,0.04
100168,0.05
100169,0.06
100170,0.03
100171,0.09
100172,0.07
100184,0.04
100187,0.08
100212,0.12
100222,0.08
100223,0.05
100232,0.01
100241,0.17
100245,0.04
100253,0.05
100256,0.1
100271,0.08
100278,0.37
100280,0.03
100306,0.19
100311,0.15
100312,0.12
100330,0.15
100331,0.01
100352,0.14
100358,0.09
100367,0.04
100382,0.14
100384,0.04
100385,0.1
100386,0.06
100399,0.01
100404,0.14
100416,0.05
100422,0.17
100426,0.05
100438,0.08
100444,0.06
100445,0.12
100446,0.21
100447,0.05
100450,0.03
100466,0.06
100483,0.02
100484,0.07
100494,0.17
100510,0.17
100512,0.08
100517,0.03
100548,0.02
100551,0.02
100552,0.18
100553,0.08
100561,0.11
100568,0.35
100569,0.02
100591,0.11
100592,0.03
100602,0.07
100607,0.08
100613,0.06
100617,0.09
100618,0.13
100622,0.19
100625,0.08
100677,0.17
100699,0.04
100702,0.3
100711,0.14
100729,0.17
100740,0.09
100744,0.11
100745,0.07
100747,0.15
100751,0.27
100752,0.16
100753,0.2
100754,0.18
100760,0.08
100762,0.1
100763,0.13
100765,0.06
100770,0.1
100772,0.01
100777,0.01
100791,0.03
100792,0.02
100797,0.02
100823,0.11
100826,0.07
100830,0.03
100836,0.3
100872,0.09
100910,0.08
100913,0.18
100918,0.14
100931,0.0
100952,0.04
100953,0.11
100965,0.21
100970,0.03
100982,0.16
100983,0.23
100984,0.04
100987,0.08
100997,0.05
100998,0.14
101002,0.1
101005,0.19
101008,0.1
101020,0.1
101021,0.07
101024,0.19
101025,0.19
101026,0.06
101031,0.04
101041,0.01
101051,0.04
101055,0.15
101056,0.29
101057,0.02
101064,0.07
101079,0.19
101087,0.04
101090,0.07
101092,0.08
101097,0.11
101099,0.01
101107,0.12
101118,0.04
101125,0.05
101126,0.01
101128,0.06
101136,0.12
101140,0.14
101149,0.03
101160,0.02
101169,0.22
101181,0.12
101186,0.01
101190,0.13
101193,0.11
101194,0.2
101198,0.13
101200,0.07
101204,0.06
101211,0.05
101213,0.11
101223,0.1
101225,0.09
101237,0.06
101243,0.04
101244,0.15
101258,0.03
101259,0.19
101268,0.11
101269,0.06
101271,0.15
101279,0.02
101281,0.09
101287,0.06
101292,0.06
101294,0.04
101296,0.07
101297,0.05
101299,0.09
101301,0.07
101305,0.07
101308,0.19
101318,0.01
101327,0.19
101329,0.05
101332,0.03
101337,0.0
101343,0.04
101345,0.05
101346,0.04
101353,0.02
101354,0.16
101355,0.18
101356,0.07
101362,0.09
101363,0.18
101365,0.04
101366,0.12
101367,0.19
101368,0.02
101374,0.21
101380,0.03
101383,0.08
101398,0.02
101399,0.26
101401,0.13
101412,0.11
101426,0.08
101427,0.36
101428,0.21
101429,0.13
101434,0.09
101440,0.1
101448,0.06
101449,0.02
101465,0.11
101467,0.05
101472,0.11
101478,0.24
101497,0.15
101504,0.17
101547,0.04
101548,0.08
101555,0.21
101570,0.03
101572,0.06
101578,0.07
101580,0.2
101588,0.13
101602,0.07
101610,0.26
101614,0.09
101616,0.09
101643,0.03
101644,0.08
101649,0.14
101650,0.11
101665,0.02
101667,0.1
101669,0.09
101674,0.09
101675,0.01
101678,0.14
101682,0.07
101686,0.05
101697,0.22
101700,0.17
101711,0.1
101714,0.09
101715,0.2
101728,0.09
101732,0.05
101757,0.18
101758,0.04
101759,0.06
101762,0.05
101764,0.03
101780,0.23
101784,0.05
101789,0.0
101816,0.03
101819,0.07
101827,0.0
101863,0.13
101867,0.06
101870,0.09
101873,0.18
101878,0.08
101879,0.08
101880,0.01
101887,0.02
101897,0.08
101901,0.05
101903,0.22
101920,0.1
101921,0.07
101922,0.1
101961,0.18
101962,0.09
101971,0.1
101976,0.17
102002,0.09
102005,0.04
102007,0.27
102017,0.02
102019,0.21
102029,0.05
102051,0.24
102052,0.02
102054,0.02
102062,0.03
102067,0.18
102068,0.13
102070,0.09
102090,0.14
102092,0.09
102099,0.16
102100,0.14
102112,0.09
102113,0.05
102122,0.17
102123,0.09
102125,0.08
102126,0.17
102146,0.08
102147,0.11
102151,0.05
102158,0.12
102159,0.02
102162,0.08
102165,0.12
102166,0.03
102174,0.06
102193,0.24
102198,0.04
102205,0.11
102206,0.02
102218,0.05
102221,0.02
102230,0.04
102238,0.1
102248,0.07
102252,0.26
102259,0.05
102262,0.11
102273,0.07
102286,0.05
102293,0.07
102294,0.05
102296,0.03
102298,0.12
102303,0.03
102309,0.15
102315,0.06
102340,0.11
102342,0.08
102344,0.03
102346,0.1
102347,0.11
102374,0.18
102380,0.04
102387,0.21
102393,0.07
102403,0.04
102413,0.14
102414,0.06
102415,0.05
102416,0.14
102439,0.05
102441,0.14
102443,0.08
102444,0.15
102445,0.17
102448,0.05
102449,0.04
102450,0.2
102456,0.06
102458,0.07
102459,0.01
102465,0.04
102470,0.16
102471,0.05
102475,0.08
102476,0.11
102506,0.1
102509,0.02
102519,0.07
102522,0.02
102545,0.07
102549,0.08
102562,0.02
102563,0.03
102568,0.15
102582,0.02
102592,0.04
102597,0.16
102605,0.06
102614,0.08
102617,0.07
102634,0.09
102652,0.04
102655,0.01
102671,0.06
102694,0.12
102701,0.08
102703,0.05
102704,0.0
102713,0.13
102720,0.21
102731,0.06
102733,0.02
102749,0.03
102755,0.07
102763,0.06
102770,0.12
102772,0.1
102799,0.19
102838,0.1
102854,0.02
102862,0.07
102863,0.05
102867,0.04
102868,0.07
102878,0.11
102887,0.06
102898,0.26
102904,0.07
102912,0.11
102919,0.01
102927,0.07
102932,0.07
102933,0.08
102935,0.03
102958,0.06
102969,0.18
102971,0.04
102975,0.04
102979,0.07
102982,0.02
102987,0.2
102989,0.1
102995,0.07
102996,0.12
103000,0.06
103001,0.14
103004,0.06
103010,0.02
